Hour,TI(AM/PM),Weekday,Day,Month,Electricity(kwh)
7,AM,sun,23,Mar,0.816
2,AM,,11,Sep,0.158
3,AM,wed,2,Jul,0.418
1,AM,,22,Aug,0.233
12,PM,thu,4,Dec,0.616
6,PM,tue,8,Jul,3.662
10,AM,,7,Nov,0.166
7,AM,,4,Nov,0.356
5,AM,wed,14,May,1.012
6,PM,,18,Jul,3.461
10,PM,,8,Mar,0.336
4,PM,,28,Apr,0.108
12,PM,sun,25,May,0.446
6,PM,wed,22,Oct,1.008
11,PM,sun,1,Jun,1.035
4,PM,,18,Feb,0.494
10,PM,fri,18,Jul,1.63
11,AM,fri,4,Apr,0.179
1,PM,,30,Sep,0.302
3,PM,sat,13,Dec,1.04
3,AM,wed,2,Apr,0.057
2,AM,,10,Oct,0.138
2,AM,,26,Jun,0.403
9,AM,mon,28,Apr,0.1
10,AM,thu,23,Oct,0.206
3,PM,,4,Mar,0.314
11,AM,,24,Oct,0.315
12,AM,thu,28,Aug,0.299
7,PM,wed,28,May,1.555
12,PM,sat,22,Feb,0.655
4,AM,tue,14,Jan,0.328
9,AM,sat,25,Oct,0.535
9,PM,thu,19,Jun,0.972
12,PM,wed,10,Dec,0.638
12,PM,,1,Jan,0.8
5,AM,sun,12,Oct,0.189
10,AM,tue,11,Mar,0.304
4,PM,sat,29,Mar,0.749
1,AM,wed,9,Jul,0.485
4,PM,sun,8,Jun,1.717
2,PM,,23,Sep,0.294
12,AM,,13,Mar,0.257
3,PM,,29,May,0.355
7,AM,thu,6,Feb,1.274
6,AM,fri,25,Jul,2.678
9,AM,wed,26,Feb,0.295
2,PM,,27,Oct,0.199
4,AM,,11,Jun,0.432
4,AM,tue,9,Dec,0.24
9,AM,,18,Apr,0.097
10,PM,,31,Jul,1.392
11,AM,tue,11,Mar,0.368
7,AM,,15,Feb,1.555
6,AM,wed,17,Dec,1.254
2,AM,,2,Jul,0.49
11,AM,,11,Jul,1.068
5,PM,tue,30,Dec,1.559
9,PM,sun,27,Apr,0.148
11,AM,,9,Nov,0.286
8,PM,sat,29,Mar,1.685
11,AM,,23,Oct,0.303
2,PM,mon,9,Jun,0.662
12,AM,sat,19,Jul,2.17
7,PM,,15,Dec,1.881
3,PM,sun,21,Dec,0.96
7,AM,,30,Jul,1.944
6,PM,mon,3,Mar,1.098
8,AM,,23,Sep,0.227
1,AM,,7,Jul,0.514
6,PM,,20,Aug,2.016
11,AM,tue,22,Jul,1.428
5,AM,sat,2,Aug,0.4
7,AM,sat,27,Sep,0.991
2,PM,sat,1,Nov,0.418
4,PM,,21,Jun,1.685
6,PM,wed,8,Jan,2.548
1,PM,,23,Jan,0.648
10,AM,,15,Nov,0.297
12,PM,sun,31,Aug,0.662
9,AM,,23,Nov,0.324
2,PM,,3,Sep,0.316
1,AM,mon,30,Jun,0.36
12,AM,thu,29,May,0.278
2,PM,,18,Nov,0.198
2,PM,,24,Jan,0.824
1,AM,sun,30,Nov,0.119
10,PM,,5,Jan,1.2
5,AM,sat,20,Dec,0.3
4,AM,fri,31,Jan,0.388
4,PM,,18,Jun,0.749
9,AM,,2,Jul,0.634
2,PM,sun,22,Jun,1.238
8,PM,,30,May,1.101
4,PM,sat,1,Mar,0.792
1,PM,,4,Dec,0.502
2,PM,,23,Feb,0.95
6,PM,,1,Feb,2.052
8,PM,wed,2,Jul,4.416
7,AM,wed,21,May,0.828
8,PM,,10,Sep,1.344
3,PM,,21,Mar,0.317
11,PM,sun,12,Oct,0.288
3,PM,,30,Jul,1.133
12,PM,fri,19,Sep,0.378
9,AM,tue,16,Dec,0.396
8,PM,,2,Oct,1.085
10,AM,sun,14,Sep,0.365
5,AM,,25,Aug,1.148
6,AM,thu,30,Jan,2.856
9,PM,fri,21,Feb,0.466
7,AM,fri,10,Jan,2.142
11,PM,,5,Dec,1.21
6,AM,,9,Sep,0.991
6,PM,,14,Mar,1.322
6,AM,,26,Apr,0.252
12,AM,,27,Sep,0.577
12,PM,,22,Aug,0.618
1,AM,thu,9,Jan,0.36
2,AM,,7,Mar,0.15
9,AM,sat,7,Jun,1.831
4,AM,mon,9,Jun,0.31
6,PM,,4,Sep,1.058
8,PM,sat,4,Jan,3.492
5,PM,thu,5,Jun,2.293
7,PM,,30,Mar,1.282
12,AM,fri,6,Jun,0.502
3,AM,,20,Dec,0.307
5,PM,,28,May,0.946
6,PM,,1,Jul,3.091
5,PM,,11,Sep,1.083
4,PM,sun,12,Oct,0.572
1,PM,,29,Mar,0.509
8,AM,mon,17,Mar,0.358
3,AM,,23,Nov,0.147
10,AM,,20,Jul,1.224
10,AM,sun,6,Jul,1.382
5,AM,,22,Jun,0.632
11,PM,sat,8,Feb,1.116
6,AM,tue,16,Sep,0.773
12,AM,,9,Jun,0.556
7,PM,thu,20,Mar,1.512
3,PM,,4,Nov,0.162
7,PM,sun,22,Jun,2.592
5,PM,sat,26,Jul,1.771
3,AM,mon,10,Mar,0.189
8,PM,wed,4,Jun,2.938
11,PM,,25,Dec,0.523
9,PM,sun,1,Jun,0.95
1,PM,,3,Oct,0.271
1,PM,fri,24,Oct,0.197
6,PM,,15,Aug,1.445
5,AM,tue,30,Dec,1.125
4,PM,,17,Nov,0.189
11,AM,wed,16,Jul,1.428
3,AM,,24,Sep,0.161
11,AM,thu,10,Apr,0.158
8,AM,,26,Aug,0.547
12,PM,,9,Sep,0.326
6,PM,tue,15,Jul,3.73
2,PM,,31,Aug,0.864
4,AM,,16,Sep,0.157
3,PM,tue,5,Aug,0.47
6,PM,sat,30,Aug,2.311
1,AM,fri,3,Oct,0.11
5,AM,,7,Sep,0.185
7,AM,,29,Oct,0.605
9,AM,,4,Mar,0.286
12,PM,tue,18,Mar,0.364
3,PM,,2,Jun,0.828
3,PM,,14,Jun,1.409
7,AM,,24,Jun,1.895
4,AM,,1,Dec,0.191
9,PM,,8,Oct,0.335
8,PM,,29,Sep,1.187
11,AM,sat,6,Sep,0.416
1,AM,,6,Nov,0.103
1,PM,,28,Jul,0.979
7,AM,fri,20,Jun,1.636
10,AM,,27,Jan,0.656
4,PM,wed,5,Feb,0.571
9,AM,,27,Jan,0.57
5,AM,mon,4,Aug,1.386
7,AM,fri,12,Sep,0.731
12,AM,wed,12,Nov,0.131
7,AM,fri,26,Dec,1.119
5,PM,,26,Jan,1.584
7,PM,,15,Aug,2.246
10,PM,,5,Dec,0.801
2,AM,,2,Mar,0.192
2,PM,,2,Sep,0.294
3,AM,,6,May,0.144
5,AM,tue,20,May,0.836
4,PM,wed,30,Jul,0.912
9,PM,,13,Sep,0.288
12,PM,mon,17,Nov,0.207
9,AM,,27,Feb,0.306
1,PM,,31,May,0.528
10,AM,mon,4,Aug,0.398
2,AM,sun,6,Apr,0.108
5,AM,,5,Apr,0.077
7,AM,sun,25,May,0.768
2,AM,tue,17,Jun,0.364
4,PM,fri,3,Jan,0.888
6,AM,,19,Nov,0.437
7,AM,mon,4,Aug,1.123
1,PM,,11,Oct,0.346
12,PM,,6,Nov,0.203
7,PM,,6,Aug,2.009
2,AM,tue,18,Mar,0.163
9,PM,,21,Oct,0.328
4,PM,sun,21,Sep,0.662
2,PM,,1,Jan,0.872
6,PM,thu,9,Jan,2.408
1,AM,mon,3,Mar,0.162
4,PM,thu,16,Oct,0.262
5,AM,tue,27,May,0.88
11,PM,wed,17,Dec,0.638
9,AM,tue,11,Feb,0.389
7,AM,tue,23,Sep,0.706
5,AM,mon,21,Jul,2.534
12,PM,,8,Feb,0.792
1,PM,,21,May,0.33
7,AM,wed,19,Nov,0.401
2,PM,tue,1,Apr,0.143
7,AM,,17,Oct,0.578
12,PM,,6,Dec,0.66
6,AM,,15,Aug,1.267
10,PM,mon,10,Nov,0.254
4,AM,,17,Oct,0.104
11,AM,,3,Dec,0.633
2,PM,,27,May,0.362
4,AM,fri,29,Aug,0.194
9,PM,tue,10,Jun,1.058
5,AM,,20,Jun,1.94
6,PM,,24,Oct,0.823
9,AM,,2,Sep,0.206
11,AM,mon,16,Jun,0.774
1,PM,wed,5,Mar,0.374
6,PM,sat,24,May,1.31
7,AM,,23,Dec,0.931
5,PM,fri,7,Nov,0.544
10,AM,,3,Nov,0.146
2,AM,,28,Sep,0.168
3,AM,,10,Aug,0.328
5,PM,tue,15,Apr,0.425
1,PM,,23,Nov,0.254
12,AM,,29,Sep,0.204
12,AM,,19,Nov,0.122
6,PM,,4,Nov,0.662
1,PM,,10,Sep,0.328
9,AM,,1,Feb,1.231
2,AM,thu,6,Nov,0.086
3,PM,thu,24,Apr,0.098
4,AM,fri,24,Oct,0.134
7,PM,tue,30,Dec,2.138
11,PM,,26,Nov,0.198
6,AM,,9,Oct,0.727
5,AM,mon,27,Jan,1.98
5,AM,thu,5,Jun,1.96
4,PM,thu,20,Feb,0.461
6,AM,thu,19,Jun,2.268
2,AM,,29,Jul,0.509
1,AM,,17,Jun,0.389
10,AM,,8,Nov,0.273
2,PM,,11,May,0.736
3,PM,wed,15,Oct,0.218
12,AM,thu,26,Jun,0.47
11,PM,tue,27,May,0.356
8,AM,fri,3,Oct,0.25
2,AM,wed,23,Apr,0.05
1,AM,thu,14,Aug,0.202
3,PM,,4,Jul,0.922
8,PM,wed,3,Dec,1.918
11,AM,,10,Jan,0.91
7,AM,mon,5,May,0.706
11,AM,,8,Jun,1.015
5,PM,,24,Oct,0.881
10,PM,mon,29,Sep,0.298
8,PM,,13,Aug,1.92
2,PM,mon,10,Feb,0.566
5,PM,fri,6,Jun,2.527
4,PM,,20,Jan,0.808
1,AM,,13,Apr,0.087
5,PM,,23,Aug,0.961
11,AM,thu,28,Aug,0.648
9,AM,sun,31,Aug,1.253
4,PM,sun,25,May,0.857
2,PM,,10,Aug,0.768
10,PM,tue,9,Dec,0.451
1,PM,,13,Oct,0.24
5,PM,sun,2,Nov,0.397
10,AM,,27,Oct,0.226
8,PM,mon,17,Nov,0.857
5,PM,sat,31,May,0.67
8,PM,,24,Sep,1.064
11,PM,tue,18,Mar,0.376
4,AM,,12,May,0.189
7,AM,,17,Jul,1.987
2,AM,sun,24,Aug,0.313
9,PM,thu,1,May,0.422
11,AM,,20,Jun,0.747
8,AM,,3,Mar,0.371
3,AM,,28,Aug,0.221
4,PM,,24,Jul,1.142
4,AM,,27,Oct,0.136
5,AM,,23,Feb,0.41
8,AM,wed,18,Jun,0.59
1,PM,,18,Nov,0.184
11,PM,thu,18,Sep,0.354
2,AM,fri,26,Sep,0.153
2,PM,,4,Mar,0.301
6,PM,mon,20,Jan,3.052
4,PM,,23,Mar,0.77
11,AM,fri,7,Feb,0.54
5,PM,wed,21,May,1.102
7,AM,,7,Nov,0.393
2,PM,,21,Mar,0.266
3,PM,,14,Feb,0.523
4,PM,mon,21,Apr,0.102
4,AM,tue,8,Apr,0.052
2,PM,,31,Mar,0.262
10,AM,sun,12,Oct,0.346
2,PM,fri,5,Sep,0.319
4,PM,sun,13,Apr,0.321
12,AM,,2,Feb,0.835
6,AM,fri,28,Nov,0.545
3,AM,wed,11,Jun,0.331
11,PM,mon,21,Apr,0.122
12,AM,,15,Jul,0.785
12,PM,,11,Nov,0.248
3,AM,fri,18,Jul,0.432
11,PM,,3,Aug,0.618
3,AM,,17,Sep,0.113
5,AM,sat,20,Sep,0.248
4,AM,,17,Aug,0.288
4,AM,,11,May,0.228
6,AM,,31,Oct,0.742
2,PM,fri,7,Nov,0.187
12,AM,thu,4,Sep,0.168
12,PM,tue,12,Aug,0.546
10,AM,,7,Jan,0.672
12,AM,sun,5,Oct,0.437
1,AM,thu,11,Sep,0.112
6,AM,,17,Sep,0.781
3,PM,,21,Apr,0.136
1,AM,,5,Apr,0.086
7,PM,sat,5,Jul,4.406
9,AM,mon,15,Sep,0.221
6,AM,,9,Jun,1.944
4,PM,wed,17,Dec,0.524
3,AM,,2,May,0.168
8,AM,,19,Jun,0.821
3,AM,fri,3,Oct,0.131
8,PM,,14,Jul,3.456
8,PM,,19,Apr,0.497
8,PM,mon,2,Jun,2.333
4,AM,sat,5,Apr,0.105
10,AM,,24,Apr,0.098
2,AM,wed,12,Feb,0.257
8,AM,,9,Apr,0.132
3,AM,thu,6,Mar,0.146
3,PM,,16,Nov,0.462
6,AM,,2,Sep,0.949
8,AM,sat,16,Aug,1.31
4,PM,thu,10,Jul,0.797
12,PM,,1,Mar,0.398
3,PM,,31,Oct,0.242
10,PM,,31,Mar,0.364
9,AM,sat,8,Feb,1.112
9,AM,fri,4,Apr,0.095
7,PM,tue,4,Mar,1.253
1,PM,wed,12,Nov,0.189
4,PM,,2,Oct,0.281
3,PM,thu,20,Feb,0.499
11,PM,,30,Jan,0.85
8,PM,fri,1,Aug,1.805
10,AM,sun,14,Dec,0.581
8,AM,thu,5,Jun,0.626
3,PM,,16,Jan,0.816
9,AM,,5,Jan,1.692
10,PM,,20,Feb,0.486
1,PM,wed,4,Jun,0.835
10,AM,fri,24,Oct,0.202
2,PM,tue,11,Nov,0.198
1,PM,mon,20,Jan,0.872
4,PM,sat,22,Nov,0.454
8,PM,sat,22,Nov,0.891
5,PM,,1,Apr,0.355
3,PM,,10,Jul,0.768
7,AM,,13,Jun,1.701
9,PM,,1,Jan,1.404
2,AM,mon,8,Sep,0.16
5,AM,,25,Apr,0.29
10,AM,,20,Jan,0.776
10,AM,,2,Apr,0.126
7,PM,,8,Feb,1.728
1,PM,tue,21,Jan,0.808
4,PM,,9,Jun,0.576
9,PM,,25,Oct,0.238
12,AM,,1,Dec,0.327
6,PM,fri,8,Aug,1.646
10,PM,thu,25,Sep,0.406
11,AM,sat,13,Dec,0.733
11,PM,,11,Jun,0.783
4,AM,,30,Sep,0.146
6,PM,,24,Aug,2.419
11,AM,,15,Jul,1.32
1,AM,thu,29,May,0.163
9,PM,sat,27,Sep,0.244
9,PM,wed,2,Jul,1.469
5,AM,mon,31,Mar,0.722
3,AM,,29,May,0.157
2,AM,,5,Feb,0.247
8,AM,sun,23,Nov,0.515
5,PM,sat,11,Oct,0.502
2,PM,,27,Sep,0.65
2,AM,sun,27,Jul,0.821
1,PM,thu,27,Mar,0.307
8,AM,tue,16,Sep,0.246
11,AM,fri,6,Jun,1.08
11,PM,tue,23,Dec,0.446
8,PM,,11,Apr,0.514
3,PM,,27,Feb,0.432
6,PM,,4,Feb,1.462
3,PM,sun,25,May,0.684
7,AM,sun,8,Jun,2.009
7,PM,,7,Feb,2.225
4,PM,sat,24,May,0.799
7,PM,,22,Nov,0.948
4,PM,sun,7,Dec,1.099
8,AM,,17,Sep,0.322
10,AM,,4,Oct,0.378
2,AM,,30,Sep,0.16
4,PM,mon,22,Dec,0.449
6,PM,sun,9,Feb,2.138
7,AM,sun,14,Sep,0.764
2,PM,thu,27,Feb,0.427
12,PM,,16,Jun,1.026
9,AM,,29,Jul,0.727
3,PM,,28,Jul,0.787
5,PM,sat,25,Oct,0.529
12,AM,,2,Nov,0.342
4,AM,sun,28,Sep,0.246
6,AM,fri,21,Mar,0.97
2,PM,sat,6,Sep,0.543
11,PM,tue,25,Feb,0.528
12,AM,,6,Aug,0.346
5,PM,tue,24,Jun,1.872
11,PM,,10,Jun,1.008
2,AM,sat,12,Jul,0.706
9,PM,,20,Jan,1.104
4,PM,mon,3,Nov,0.202
6,AM,wed,3,Dec,1.188
6,PM,,3,Apr,0.37
11,PM,,15,May,0.384
8,AM,,6,Mar,0.285
2,AM,,23,May,0.168
12,PM,sat,14,Jun,0.896
5,PM,,18,Nov,0.474
9,PM,sat,4,Jan,0.84
5,AM,wed,24,Dec,1.307
3,PM,,30,Jan,0.696
9,AM,,3,Sep,0.193
9,AM,,20,Aug,0.389
11,PM,tue,1,Apr,0.131
3,AM,,18,Aug,0.266
10,AM,,1,Apr,0.098
2,PM,,25,Nov,0.214
3,PM,,31,May,0.605
4,AM,,2,Nov,0.157
10,PM,,25,Jan,0.912
10,PM,,29,Oct,0.309
12,AM,,17,Sep,0.225
5,AM,tue,18,Feb,1.333
11,AM,sun,16,Mar,0.504
3,AM,sun,26,Jan,0.576
2,PM,,15,Oct,0.245
8,PM,,26,Sep,1.277
2,AM,wed,21,May,0.136
1,PM,wed,12,Feb,0.533
5,PM,tue,30,Sep,0.728
3,AM,,7,Mar,0.152
6,AM,,28,Sep,0.599
6,AM,thu,13,Feb,1.598
5,PM,,2,Apr,0.378
9,PM,sat,11,Jan,0.864
9,PM,,7,Oct,0.4
3,AM,,3,Jan,0.472
2,AM,fri,12,Dec,0.231
11,PM,,22,Dec,0.512
11,AM,,26,Mar,0.344
9,AM,wed,6,Aug,0.378
11,PM,,6,Feb,0.66
6,AM,,3,May,0.57
6,PM,,16,Jun,2.167
11,PM,fri,24,Jan,2.0
6,PM,thu,25,Sep,0.833
11,PM,tue,5,Aug,0.57
3,AM,,5,May,0.141
12,PM,,18,Sep,0.326
6,PM,fri,16,May,1.064
5,AM,,22,Aug,1.254
9,AM,fri,5,Sep,0.242
2,PM,,25,Jun,0.641
9,PM,wed,14,May,0.49
1,PM,wed,18,Jun,0.835
10,PM,,26,Jun,0.756
8,PM,fri,12,Sep,1.008
3,AM,tue,16,Sep,0.165
5,PM,,22,Jun,1.361
4,PM,,13,Jan,0.656
3,PM,fri,5,Sep,0.28
9,AM,,24,Jun,0.475
5,PM,sat,8,Nov,0.324
9,PM,tue,22,Apr,0.173
12,AM,,30,Nov,0.382
6,AM,wed,30,Apr,0.374
12,AM,mon,24,Mar,0.23
5,AM,,24,Nov,0.579
5,AM,fri,19,Dec,1.283
12,AM,,16,Jul,0.806
6,PM,,15,Apr,0.365
4,PM,mon,27,Jan,0.816
12,PM,tue,26,Aug,0.51
9,PM,,14,Oct,0.295
9,PM,mon,14,Apr,0.169
12,AM,,24,Sep,0.187
11,PM,,26,Jan,0.96
5,AM,fri,4,Apr,0.396
11,PM,mon,3,Nov,0.205
3,AM,mon,22,Dec,0.187
1,AM,tue,4,Nov,0.088
6,PM,wed,10,Sep,1.117
4,PM,,4,Apr,0.109
4,AM,fri,25,Apr,0.066
2,AM,,4,Aug,0.286
12,AM,,3,Oct,0.18
1,PM,fri,26,Dec,0.383
5,AM,,28,Apr,0.356
10,AM,mon,1,Sep,0.322
7,AM,,28,Aug,1.069
1,AM,,16,Jan,0.344
5,PM,thu,8,May,1.102
8,AM,,20,Oct,0.269
9,AM,sun,22,Jun,1.669
4,AM,thu,8,May,0.142
3,PM,,5,Nov,0.184
12,PM,sun,2,Feb,0.67
12,AM,tue,27,May,0.269
6,AM,sun,3,Aug,0.912
5,PM,mon,14,Apr,0.355
6,PM,mon,15,Dec,1.586
12,PM,,26,May,0.332
8,PM,,20,Dec,2.039
2,AM,thu,12,Jun,0.374
7,PM,sun,14,Sep,1.008
6,AM,,26,Feb,1.613
6,AM,,14,May,1.123
3,AM,tue,30,Sep,0.162
6,PM,fri,3,Oct,0.848
12,PM,,14,Feb,0.654
5,PM,,24,Feb,1.763
6,AM,,18,Oct,0.504
12,PM,wed,23,Apr,0.138
8,AM,,30,Sep,0.266
6,AM,,21,Nov,0.589
11,PM,,23,Mar,0.408
10,AM,,16,Nov,0.265
2,PM,fri,23,May,0.355
12,AM,tue,13,May,0.214
5,AM,,13,Jul,0.598
3,PM,,13,Aug,0.576
8,AM,,20,Aug,0.528
3,PM,sun,27,Apr,0.278
12,AM,sat,13,Sep,0.51
10,PM,,2,Oct,0.285
6,AM,,11,Aug,1.685
11,PM,,10,Aug,0.48
8,AM,tue,21,Jan,0.848
6,AM,fri,4,Apr,0.342
6,PM,wed,24,Dec,1.663
5,AM,tue,17,Jun,1.742
10,PM,,12,Sep,0.524
1,PM,,6,Apr,0.164
1,PM,,24,Sep,0.297
11,AM,tue,2,Sep,0.378
10,PM,,21,Jul,1.332
10,PM,,8,Dec,0.446
7,AM,,1,Jun,2.419
9,AM,,23,Mar,0.626
6,AM,,4,Jun,2.592
6,AM,,26,Nov,0.432
6,PM,,4,May,1.541
11,AM,,25,Aug,0.492
12,PM,,24,Mar,0.42
12,PM,,19,May,0.416
7,AM,fri,28,Nov,0.47
6,PM,,12,Dec,1.371
10,PM,wed,17,Dec,0.66
2,PM,mon,24,Nov,0.175
9,AM,,17,Dec,0.327
6,PM,,26,Jan,3.204
12,PM,,7,Dec,0.766
7,AM,,17,Nov,0.413
3,PM,,30,Apr,0.127
8,AM,,2,Apr,0.1
10,PM,sun,17,Aug,0.54
2,PM,,7,Jul,0.912
6,AM,sat,20,Sep,0.51
5,PM,,16,Sep,0.937
5,AM,,29,May,0.871
2,AM,,5,May,0.182
8,PM,,15,Apr,0.518
7,AM,wed,18,Jun,1.539
4,PM,,11,Sep,0.235
1,AM,sun,3,Aug,0.346
9,PM,,21,Jul,1.368
4,AM,,21,Jul,0.499
6,AM,thu,23,Oct,0.835
9,PM,,2,May,0.371
2,AM,sat,1,Mar,0.266
12,AM,thu,24,Jul,0.778
2,PM,sun,9,Mar,0.582
2,PM,tue,19,Aug,0.499
6,PM,fri,23,May,1.154
5,PM,,22,Oct,0.749
12,PM,thu,1,May,0.36
8,PM,,30,Jul,3.418
11,AM,,2,Oct,0.297
5,AM,,3,Dec,1.077
2,AM,,3,Jul,0.552
4,AM,tue,2,Sep,0.144
9,PM,wed,29,Oct,0.4
7,AM,,9,Sep,0.712
5,AM,sat,4,Oct,0.194
12,AM,fri,5,Sep,0.195
10,PM,wed,8,Jan,0.94
1,AM,,20,May,0.139
3,PM,,15,Sep,0.269
12,AM,,23,Mar,0.614
2,AM,,15,Jan,0.404
4,AM,,28,Aug,0.269
11,AM,,13,Nov,0.214
7,AM,mon,3,Mar,0.742
2,PM,,20,Dec,0.95
3,PM,,23,Jun,0.612
2,AM,fri,7,Feb,0.278
12,PM,tue,7,Jan,0.89
6,AM,wed,1,Jan,2.304
12,PM,,31,Dec,0.528
4,AM,tue,21,Oct,0.104
1,AM,,5,Dec,0.257
12,AM,wed,20,Aug,0.378
9,AM,tue,4,Nov,0.162
7,PM,sat,19,Jul,3.931
6,AM,,3,Jun,2.074
2,AM,,2,May,0.192
4,AM,,28,Oct,0.12
7,PM,,10,Oct,1.102
10,PM,sun,27,Apr,0.147
11,PM,tue,19,Aug,0.564
6,AM,,26,Jun,2.527
4,PM,,28,Jan,0.872
12,PM,,1,Feb,0.648
3,PM,,13,May,0.374
1,PM,,30,Mar,0.466
7,PM,sun,27,Apr,0.572
9,AM,thu,1,May,0.226
1,PM,,4,Jul,0.874
6,PM,,28,Jan,3.024
10,PM,sun,13,Jul,0.996
8,AM,,23,Jul,0.931
3,PM,,17,Feb,0.552
3,AM,,17,Nov,0.084
7,PM,mon,21,Jul,4.709
12,PM,,19,Mar,0.416
11,AM,,12,Nov,0.18
7,PM,,21,Jun,3.175
7,PM,,27,Jun,3.564
11,PM,,1,Feb,1.296
1,AM,,16,Mar,0.254
9,PM,,27,Jul,1.656
5,PM,,4,May,0.67
11,AM,sat,16,Aug,0.713
7,AM,,30,Jun,1.345
8,AM,,8,Jul,1.037
12,AM,sat,10,May,0.749
12,AM,,15,Oct,0.182
3,PM,,24,Oct,0.254
11,AM,thu,24,Apr,0.14
1,AM,,17,Aug,0.288
2,AM,sat,22,Nov,0.14
11,AM,thu,4,Dec,0.457
8,AM,,29,Apr,0.103
1,AM,,17,Apr,0.062
5,AM,,17,May,0.281
3,PM,,15,Feb,1.069
10,PM,fri,4,Apr,0.174
5,AM,,19,May,0.889
4,AM,mon,28,Jul,0.403
12,PM,sun,5,Jan,1.176
10,PM,,26,Nov,0.198
10,AM,,19,Aug,0.394
12,PM,fri,12,Dec,0.611
6,PM,,12,Aug,1.814
3,PM,sun,12,Jan,1.674
8,AM,mon,11,Aug,0.413
10,PM,thu,6,Mar,0.476
9,AM,,10,May,0.734
6,PM,wed,25,Jun,2.444
3,AM,thu,6,Nov,0.091
3,AM,,2,Sep,0.154
2,AM,wed,29,Jan,0.468
7,PM,,27,Oct,1.102
9,AM,,29,Sep,0.191
7,PM,,19,Jun,3.078
3,AM,fri,13,Jun,0.31
10,AM,,8,Mar,0.47
7,AM,thu,6,Nov,0.356
12,PM,tue,14,Jan,1.08
4,PM,wed,15,Oct,0.216
3,PM,fri,25,Jul,1.133
6,PM,,20,Nov,0.737
7,AM,thu,4,Sep,0.548
5,AM,,16,Jun,2.0
9,PM,,26,Jun,1.123
4,PM,mon,3,Feb,0.442
8,PM,,20,Jun,3.37
4,AM,wed,2,Apr,0.052
8,PM,thu,23,Jan,3.296
2,AM,tue,18,Nov,0.075
10,AM,thu,2,Jan,0.848
7,AM,,24,Aug,1.512
6,AM,fri,13,Jun,1.771
3,AM,tue,25,Feb,0.197
9,AM,tue,14,Jan,0.588
10,PM,mon,28,Jul,1.212
7,PM,,8,Apr,0.54
3,PM,,1,Mar,0.842
8,AM,tue,7,Jan,0.912
5,PM,,13,Jul,1.901
5,AM,wed,19,Feb,1.505
7,AM,,16,May,0.691
12,AM,sat,5,Jul,2.054
7,PM,,30,Nov,0.802
9,PM,,10,May,0.342
12,PM,sat,12,Jul,1.339
12,PM,sun,20,Jul,1.397
12,PM,fri,23,May,0.34
9,AM,wed,3,Dec,0.297
2,AM,,1,Jun,0.502
12,AM,thu,24,Apr,0.095
1,PM,,19,Jul,1.512
3,AM,,2,Nov,0.116
9,AM,mon,28,Jul,0.828
4,PM,,11,Aug,0.422
3,AM,,20,Jun,0.4
10,PM,,12,Aug,0.708
6,AM,sat,4,Jan,1.696
6,AM,thu,23,Jan,2.832
11,AM,sat,15,Mar,0.432
1,PM,,21,Jun,1.037
10,PM,,11,Apr,0.235
10,AM,,3,Jan,0.816
10,PM,,22,Jun,1.062
11,PM,,15,Oct,0.327
6,PM,thu,12,Jun,2.797
11,PM,,20,Oct,0.339
10,AM,sun,23,Mar,0.48
7,AM,,8,Sep,0.561
1,AM,wed,13,Aug,0.218
3,AM,,8,Dec,0.202
3,PM,fri,26,Sep,0.227
12,AM,,13,Oct,0.167
10,PM,,16,Aug,0.514
5,PM,,29,May,1.196
11,PM,,20,Mar,0.324
10,AM,thu,26,Jun,0.792
10,AM,,11,Aug,0.552
9,AM,sat,22,Feb,1.004
3,AM,,20,Jan,0.476
9,AM,,27,Apr,0.235
3,AM,,3,Jun,0.346
8,PM,,30,Sep,0.963
11,AM,,23,May,0.32
8,AM,,16,Jun,0.583
6,PM,thu,17,Jul,3.696
11,AM,,19,Apr,0.191
1,AM,,1,Oct,0.103
1,PM,sun,14,Dec,0.785
6,AM,,19,Jul,2.189
6,AM,sun,5,Jan,1.36
1,AM,,10,Nov,0.077
10,PM,sat,19,Apr,0.138
1,AM,mon,16,Jun,0.396
1,AM,thu,10,Apr,0.064
12,PM,sat,27,Dec,0.706
2,PM,,20,Feb,0.533
3,AM,,14,Mar,0.181
3,AM,sun,6,Apr,0.079
8,PM,,20,Aug,2.054
5,PM,wed,18,Jun,2.036
1,PM,,5,Jun,0.742
11,AM,,18,Jun,0.99
5,PM,sat,28,Jun,1.912
6,AM,fri,18,Jul,2.592
9,AM,mon,3,Feb,0.421
3,PM,wed,24,Sep,0.297
12,PM,sat,15,Mar,0.437
12,PM,,21,Dec,0.561
7,PM,wed,14,May,1.296
6,AM,fri,12,Sep,0.731
7,AM,tue,16,Sep,0.554
12,AM,mon,30,Jun,0.497
12,AM,,28,Sep,0.577
3,AM,,3,Mar,0.146
9,AM,sat,2,Aug,1.134
6,PM,,10,Jan,3.08
1,AM,,5,Feb,0.25
5,PM,,16,Dec,1.616
2,PM,wed,16,Apr,0.096
3,AM,mon,3,Feb,0.23
2,AM,sun,10,Aug,0.378
4,AM,wed,8,Oct,0.1
7,PM,fri,11,Apr,0.432
6,AM,sun,11,May,0.749
2,AM,,19,Dec,0.24
8,AM,mon,10,Feb,0.523
2,PM,sun,24,Aug,0.979
6,AM,,12,Dec,1.135
5,AM,,23,Sep,0.678
